symbol,name,priceBookValueRatio,priceToBookRatio,priceToSalesRatio,priceEarningsRatio,receivablesTurnover,priceToFreeCashFlowsRatio,priceToOperatingCashFlowsRatio,enterpriseValueMultiple,niperEBT,ebtperEBIT,ebitperRevenue,grossProfitMargin,pretaxProfitMargin,netProfitMargin,effectiveTaxRate,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,nIperEBT,eBTperEBIT,eBITperRevenue,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,daysOfInventoryOutstanding,operatingCycle,daysOfPayablesOutstanding,cashConversionCycle,debtRatio,debtEquityRatio,longtermDebtToCapitalization,totalDebtToCapitalization,interestCoverage,cashFlowToDebtRatio,companyEquityMultiplier,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,payoutRatio,receivablesTurnover,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,cashFlowCoverageRatios,shortTermCoverageRatios,capitalExpenditureCoverageRatios,dividendpaidAndCapexCoverageRatios,dividendPayoutRatio,Gross Profit Growth,EBIT Growth,Operating Income Growth,Net Income Growth,EPS Growth,EPS Diluted Growth,Weighted Average Shares Growth,Weighted Average Shares Diluted Growth,Dividends per Share Growth,Operating Cash Flow growth,Free Cash Flow growth,10Y Revenue Growth (per Share),5Y Revenue Growth (per Share),3Y Revenue Growth (per Share),10Y Operating CF Growth (per Share),5Y Operating CF Growth (per Share),3Y Operating CF Growth (per Share),10Y Net Income Growth (per Share),5Y Net Income Growth (per Share),3Y Net Income Growth (per Share),10Y Shareholders Equity Growth (per Share),5Y Shareholders Equity Growth (per Share),3Y Shareholders Equity Growth (per Share),10Y Dividend per Share Growth (per Share),5Y Dividend per Share Growth (per Share),3Y Dividend per Share Growth (per Share),Receivables growth,Inventory Growth,Asset Growth,Book Value per Share Growth,Debt Growth,R&D Expense Growth,SG&A Expenses Growth,% return on investment
AAN,"Aaron's, Inc.",1.5314999999999999,1.9561000000000002,0.7885500000000001,12.378599999999999,27.7757,59.127849999999995,19.9267,0.12680527098668498,0.629827438835715,0.980104601304375,0.10314330136371,0.8128458425056,0.103086681837515,0.0636649832325035,0.370172561164285,0.0,0.12390000000000001,0.0,0.629827438835715,0.980104601304375,0.10314330136371,27.7757,2.51545,0.0,1.89670903915825,1.2877861791085499,0.0,0.0,0.0,0.0,13.657399999999999,0.0,39.026399999999995,0.0,0.03475,0.05235,0.0,0.0,52.300399999999996,0.0,1.51150307738585,1.4943,1.0025,1.1184,0.0335,27.7757,0.068380047583183,0.534764347742045,0.0,0.0,2.8429234891432,2.58978930742805,0.033015284370888,0.08960000000000001,0.13155,0.14805000000000001,0.1499,0.14024999999999999,0.14265,0.0049499999999999995,0.0,-0.04145000000000001,0.34919999999999995,0.30845000000000006,0.1232,0.101,0.11485000000000001,-0.059000000000000004,0.19295,0.1096,0.137,0.1398,0.13274999999999998,0.14685,0.16275,0.134,0.14745000000000003,0.09225,0.0635,0.0823,0.0,0.1041,0.1287,-0.3807,0.0,0.08135,97.60122573097262
AAON,"AAON, Inc.",3.4176,3.4176,1.6373000000000002,16.86505,6.735099999999999,20.69945,10.962299999999999,0.287752856373992,0.650628796881525,0.999210221913555,0.15642551139895,0.25052335465143,0.15607883154443,0.1012719129193975,0.349371203118475,0.1997,0.2112,0.2295,0.650628796881525,0.999210221913555,0.15642551139895,6.735099999999999,5.38935,7.6835,3.8612653861331,1.54800258261635,2.8235,1.6912957848966,0.46880246399472,-61.94345,54.61345,0.0,16.0563,0.0,0.00025,0.0003,0.0,0.000321829345754815,2802.7,297.401315789475,1.3483924399791,0.6732,0.437,0.25535,0.2505,6.735099999999999,0.15788556709112,0.62382236321396,297.401315789475,297.401315789475,3.27232679156815,2.06359953188605,0.31532098965726,-0.0887,-0.12985000000000002,-0.12195000000000002,-0.1203,-0.10075,-0.0914,-0.021949999999999997,-0.027299999999999998,0.06315,0.03134999999999999,-0.04620000000000002,0.07485,0.08465,0.02745,0.13505,0.24559999999999998,0.20095,0.1031,0.24,0.109,0.14865,0.11285,0.11065,0.0,0.0,0.0889,0.027749999999999997,-0.020750000000000005,0.06795,0.13044999999999998,-0.9878,0.0,-0.02605,369.5760730338251
AAT,"American Assets Trust, Inc.",0.0,0.0,7.0672,261.5,3.15505,18.7349,17.2123,0.5033875611615399,0.0,0.0,0.370334245485505,0.74177064172309,0.40103674335751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.370334245485505,3.15505,3.00355,0.0,0.136901299576495,0.11264093274795,0.0,0.0,0.0,0.0,103.81765,0.0,29.149050000000003,0.0,0.7866,2.79505,0.0,0.0,1.0,0.0,3.52545561037145,0.6173,0.5671,0.5929,0.0,3.15505,0.41624865015977,0.8931461628374451,0.0,0.0,9.9277700362485,9.9277700362485,0.0,-0.01405,0.08685,-0.058050000000000004,0.5,0.0,0.0,0.0,0.0,0.0,0.00795,0.28355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22290000000000001,0.0,0.07845,0.0,0.07855000000000001,0.0,0.023400000000000004,122.03467046371397
AAWW,"Atlas Air Worldwide Holdings, Inc.",1.1936,1.2446000000000002,0.91035,10.263449999999999,18.456699999999998,5.7545,4.4072,4.24156174502075,0.6150045773998349,0.79519080525321,0.18194310626614502,0.474940576273105,0.15582854865564,0.0896355891244565,0.384995422600165,0.0751,0.11165,0.10930000000000001,0.6150045773998349,0.79519080525321,0.18194310626614502,18.456699999999998,16.89265,0.0,1.2695049955864501,0.650370265321805,3.6109999999999998,3.31910987988585,2.92589128875775,0.0,20.30775,0.0,6.70905,0.0,0.28825,0.55185,0.32239013481609,0.35360878349136,5.302350000000001,0.477610449855345,1.9072185285757999,10.39595,8.0345,25.593049999999998,0.0,18.456699999999998,0.205920682432765,0.77303822078084,0.477610449855345,4.2211488285808505,4.4074571050058005,4.4074571050058005,0.0,0.15910000000000002,0.31795,6.93425,0.52215,0.36835,0.3634,0.10215,0.10690000000000001,0.0,0.5098,0.8785000000000001,0.0,-0.0412,-0.11560000000000001,0.0,0.30995,0.08635,0.0,0.043,0.0169,0.0,0.1599,0.1875,0.0,0.0,0.0,0.07730000000000001,0.0,0.0998,0.1371,-0.14834999999999998,0.0,0.015700000000000006,14.055965814108994
AAXN,"Axon Enterprise, Inc.",2.4052,2.46675,2.99445,0.0,6.2448999999999995,0.0,214.55715,15.927844436754,-0.0060521160517875,0.5,-0.028975196418795996,0.5650228028963951,-0.029941659913283816,-0.025223491763927068,0.5060521160518,-0.02065,-0.01865,-0.02,-0.0060521160517875,0.5,-0.028975196418795996,6.2448999999999995,5.47565,6.29335,2.55838758736735,0.69571781280337,6.5600000000000005,4.56156485967455,3.4367966696484498,-145.6238,55.3636,0.0,20.682650000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16724175545205,0.08754999999999999,-0.0551,0.7088,0.0,6.2448999999999995,0.05273097850500035,-2.4065011242600454,0.0,0.0,0.46063113191443,0.46063113191443,0.0,-0.08614999999999999,-28.9766,-32.465450000000004,-1982.1136000000001,-0.5,-0.5,0.0013,-0.011899999999999999,0.0,-0.3407,-1.36385,0.1418,0.09820000000000001,0.053849999999999995,0.05805,-0.1429,-0.2595,0.0,-0.5,0.0,0.0,0.01925,0.02525,0.0,0.0,0.0,-0.10185,0.15055000000000002,0.024249999999999997,0.021400000000000002,0.0,0.05945,0.008150000000000004,600.3464109568828
ABCB,Ameris Bancorp,0.70355,0.71705,2.2182,0.0,2.30185,5.57455,4.78655,0.0,0.0,0.0,-0.23950660181421352,1.0,-0.23950660181421352,-0.258320559782131,0.0,0.0,-0.11445,0.0,0.0,0.0,-0.23950660181421352,2.30185,0.0,0.0,1.2232705453761499,0.0310776164789135,0.0,0.0,0.0,0.0,529.59415,0.0,0.0,0.0,0.04645,0.5367999999999999,0.0,0.0,0.0,0.0,11.65188311446,1.82765,1.565,18.116,-0.1965,2.30185,0.436695873143495,0.85341082454182,0.0,0.0,8.78486703587085,8.2576515407909,0.0,0.20495000000000002,-1.9934,-1.9934,-4.3758,-4.3277,-4.3277,0.36760000000000004,0.0,-0.44989999999999997,0.40745,0.6987,0.0092,-0.0191,-0.09830000000000001,0.02895,0.0023500000000000005,-0.045950000000000005,0.0,0.0,0.0,0.0533,0.02555,-0.02575,-0.1632,-0.20994999999999997,-0.345,1.43265,0.0,0.11660000000000001,-0.1901,0.12465000000000004,0.0,0.1412,857.8172741346375
ABG,"Asbury Automotive Group, Inc.",1.8007,1.87375,0.1356,21.5567,41.629400000000004,1.779,32.2309,5.05547527752395,0.5498946600761649,0.445045543152355,0.0269858941548775,0.170021399374395,0.030357968611532497,0.007051672826228,0.45010533992383495,0.03725,0.09385,0.05585,0.5498946600761649,0.445045543152355,0.0269858941548775,41.629400000000004,4.7834,6.47495,7.824024348399799,2.4687975718957,1.3675000000000002,0.234126347483685,0.0874753333867045,-64.6821,9.25395,0.0,16.2745,0.0,0.6734,3.6854500000000003,0.66767464760515,0.78562201467547,1.8579,0.062047554556834,5.463881425088299,1.88655,1.4215,1.6542,0.0,41.629400000000004,0.0177612214984842,-0.17892632365130495,0.062047554556834,0.1359974314702425,7.9194505628978105,7.9194505628978105,0.0,-0.032150000000000005,0.7666,0.7572,1.44115,1.4241000000000001,1.40915,0.0079,0.0235,-0.5,-0.8505499999999999,-0.94895,0.0,-0.06605,-0.11665,0.0,0.0,-0.256,0.0,-0.1583,-0.2344,0.0,-0.12165,-0.2318,0.0,0.0,-1.0,0.12990000000000002,-0.07794999999999999,-0.045200000000000004,0.11810000000000001,-0.1012,0.0,-0.05555,168.48229066919444
ABM,"ABM Industries, Inc.",1.49475,13.45235,0.30525,17.88545,6.6263000000000005,8.54645,7.3109,1.46163564532265,0.63256853699472,0.9458008426381199,0.0284151415315355,0.10445852472890499,0.028794180602102502,0.016967921400914,0.36743146300527996,0.1773,0.0829,0.055099999999999996,0.63256853699472,0.9458008426381199,0.0284151415315355,6.6263000000000005,10.086,0.0,60.6903825689175,2.2730971325317997,1.8175,1.71417948145705,0.108907422214889,0.0,54.60975,0.0,8.56015,0.0,0.10205,0.2206,0.180215861375975,0.180215861375975,19.340249999999997,0.941645582546785,2.1547968528015,2.8088,2.39805,0.71085,0.46499999999999997,6.6263000000000005,0.041664678652237,0.85416695174837,0.941645582546785,0.0,6.92025326812965,2.9929585126653997,0.46565916804466,-0.047150000000000004,0.09425,0.05365,0.188,0.1691,0.1728,0.0157,0.014700000000000001,0.03925,0.56305,1.3004,0.0526,0.0591,0.07485,0.17165,0.31100000000000005,0.19465000000000002,0.0195,0.059750000000000004,-0.06325,0.07575000000000001,0.0802,0.058249999999999996,0.0605,0.0527,0.04865,-0.016300000000000002,0.0,-0.008349999999999998,0.0563,-0.21775,0.0,-0.0837,123.39885679026885
ACAD,"ACADIA Pharmaceuticals, Inc.",2.87115,2.87115,4.5065,1.53845,0.0,0.0,-4.043,0.2174838054109,0.5,0.5,-3.3478555494748248,1.0,-3.373627865826085,-3.3478555494748248,0.0,-0.41385,-1.6084,0.0,0.5,0.5,-3.3478555494748248,0.0,7.53565,0.0,52.4669372165193,0.613120723686445,4.824,4.71176603164165,1.19077813553195,0.0,0.0,0.0,92.59004999999999,0.0,0.00565,0.020399999999999998,0.00401244677366525,0.0197168349638269,0.0,-83.43294844104851,2.6971449583844,-0.3218,-0.3205,0.33055,0.0,0.0,-1.19959789240388,0.0,-83.43294844104851,-87.41308394801601,-167.40243902439,-167.40243902439,0.0,4.30455,0.8163,0.8266,0.8163,0.8157,0.8157,0.019799999999999998,0.0215,0.0,0.50435,0.5102,0.0,-0.0021000000000000046,0.27835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25665,-0.43415000000000004,0.0,0.0,0.0,0.0,0.0,-0.22955,0.3035,-0.72675,-0.38615,-0.25075000000000003,5840.360646118982
ACCO,ACCO Brands Corp.,0.0,0.0,0.34309999999999996,18.52175,4.709,8.760349999999999,7.03815,6.18592931710815,0.14385150812065,0.1767649716929791,0.074374417557191,0.296732756918745,0.073266509885475,-0.046296598217767,0.35614849187935,-0.13675,0.46025000000000005,0.07719999999999999,0.14385150812065,0.1767649716929791,0.074374417557191,4.709,2.9824,5.7764,7.3406866128561,1.1158628044663002,1.845,1.05359302090795,0.19980203921444,-84.18035,77.49934999999999,0.0,30.6157,0.0,0.64435,-7.6553,1.15800954002685,1.1578796436017,1.27445,0.0869827663387795,0.0,1.15685,0.9475,1.1591,0.0,4.709,0.0503557893096795,0.8132179296113751,0.0869827663387795,188.32142857143,5.649445214979201,5.649445214979201,0.0,-0.0985,1.0366499999999998,0.91035,0.8632500000000001,0.86425,0.8621,0.0055,0.0275,0.0,0.34490000000000004,5.20275,0.0,-0.07869999999999999,-0.12415,0.0,-0.0766,-0.14645,0.0,-0.15435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015499999999999993,-0.11159999999999999,-0.04905,-16.4021,0.0133,0.0,-0.146,134.49807361985089
