symbol,name,priceBookValueRatio,priceToBookRatio,priceToSalesRatio,priceEarningsRatio,receivablesTurnover,priceToFreeCashFlowsRatio,priceToOperatingCashFlowsRatio,enterpriseValueMultiple,niperEBT,ebtperEBIT,ebitperRevenue,grossProfitMargin,pretaxProfitMargin,netProfitMargin,effectiveTaxRate,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,nIperEBT,eBTperEBIT,eBITperRevenue,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,daysOfInventoryOutstanding,operatingCycle,daysOfPayablesOutstanding,cashConversionCycle,debtRatio,debtEquityRatio,longtermDebtToCapitalization,totalDebtToCapitalization,interestCoverage,cashFlowToDebtRatio,companyEquityMultiplier,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,payoutRatio,receivablesTurnover,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,cashFlowCoverageRatios,shortTermCoverageRatios,capitalExpenditureCoverageRatios,dividendpaidAndCapexCoverageRatios,dividendPayoutRatio,Gross Profit Growth,EBIT Growth,Operating Income Growth,Net Income Growth,EPS Growth,EPS Diluted Growth,Weighted Average Shares Growth,Weighted Average Shares Diluted Growth,Dividends per Share Growth,Operating Cash Flow growth,Free Cash Flow growth,10Y Revenue Growth (per Share),5Y Revenue Growth (per Share),3Y Revenue Growth (per Share),10Y Operating CF Growth (per Share),5Y Operating CF Growth (per Share),3Y Operating CF Growth (per Share),10Y Net Income Growth (per Share),5Y Net Income Growth (per Share),3Y Net Income Growth (per Share),10Y Shareholders Equity Growth (per Share),5Y Shareholders Equity Growth (per Share),3Y Shareholders Equity Growth (per Share),10Y Dividend per Share Growth (per Share),5Y Dividend per Share Growth (per Share),3Y Dividend per Share Growth (per Share),Receivables growth,Inventory Growth,Asset Growth,Book Value per Share Growth,Debt Growth,R&D Expense Growth,SG&A Expenses Growth,% return on investment
A,"Agilent Technologies, Inc.",2.5517,5.17165,1.4813,6.30885,7.0014,18.1807,13.57995,16.74622293,-1.720066061,0.4759284,0.082973567,0.524850085,0.057228201,0.059362405,2.720066061,0.0799,0.09975,0.0513,-1.720066061,0.4759284,0.082973567,7.0014,3.8529,8.0338,5.42903031,0.575072211,2.764,2.894054923,2.481972059,-97.99795,53.36445,0,29.2314,0,0.38115,1.1513,0.470495964,0.535163966,4.6439,0.167487366,3.020613724,1.6242,1.2763,11.89585,0,7.0014,0.111469711,0.764975558,0.167487366,204.2391739,4.75542202,4.75542202,0,-0.00225,3.198,5.05085,11.0099,10.9209,10.75375,-0.02195,-0.0236,0,0.14975,0.30285,-0.0301,0.08565,0.042,0.0421,-0.003,-0.06355,0.0079,0.12195,0.03385,-0.02165,0.01,-0.004,0,0,0,0.1166,0.0758,0.18005,0.15185,0.31885,-0.0674,0.0188,154.2943005
AAL,"American Airlines Group, Inc.",0,0,0.11565,0,27.3348,0,2.20925,61.81285461,0,-0.798107256,-0.018155715,0.495744223,-0.018258275,-0.047475402,0,-0.0689,0.2701,-0.0152,0,-0.798107256,-0.018155715,27.3348,5.0271,37.6691,1.378462325,0.833325955,0.819,0.68775594,0.074854595,-19.8189,13.1123,0,19.26545,0,0.45185,-3.08765,1.617520931,1.48683776,-0.4848,0.09547397,0,3.26045,-1.85,1.8491,0,27.3348,0.051335162,-0.565761656,0.09547397,0.746942072,0.638704313,0.638704313,0,0.03935,0.774,0.88765,0.49305,0.55295,0.55295,0.09755,0,0,1.00075,0.16005,-0.0661,-0.12145,-0.13695,-0.15725,-0.09305,-0.27055,0,0,0,0,0,0,0,0,0,-0.04605,0.0637,-0.0017,-0.06235,0.00975,0,0.01435,660.0174849
AAP,"Advance Auto Parts, Inc.",2.9566,3.1038,0.706,14.1684,57.0461,7.4185,5.4613,0.499984321,0.626363647,0.948708988,0.084061277,0.488529499,0.083949132,0.049952306,0.373636353,0.1777,0.2108,0.1883,0.626363647,0.948708988,0.084061277,57.0461,1.1875,3.3258,4.919054872,1.761369401,1.288,0.131360473,0.068223846,-215.1539,6.2418,0,67.3248,0,0.0665,0.1593,0.136624314,0.137404852,19.4966,3.425302662,2.396324759,7.4073,5.443,1.0589,0.084,57.0461,0.129270042,0.734826852,3.425302662,520.6026786,3.771120896,3.358372292,0.084339043,0.1022,0.0979,0.0951,0.1358,0.1355,0.1365,-0.0021,-0.001,0,0.4615,0.7107,0.0821,0.1099,0.0962,0,0.2582,0.3307,0,0.1104,0.0951,0,0.1581,0.1181,0,0,0,-0.0478,0.0054,0.0367,0.1952,-0.5715,0,0.1036,42.40097778
AAPL,"Apple, Inc.",5.42765,4.62715,3.98235,19.54495,10.0906,17.3279,15.3596,0.493340831,0.719160757,1,0.282736401,0.397586916,0.277749115,0.203388304,0.280839243,0.45135,0.27675,0.49195,0.719160757,1,0.282736401,10.0906,2.25245,87.81735,14.10205683,0.885396994,2.3765,2.09703606,0.500422812,-8.084,49.27775,0,57.44235,0,0,0,0,0,0,0,1.537229069,2.27305,2.00935,1.3054,0,10.0906,0.260934502,0.883267782,0,0,8.571097023,8.571097023,0,0.39815,0.44255,0.48795,0.5237,0.5001,0.5035,0.0092,0.00975,0,0.44455,0.45345,0.17735,0.33475,0.3209,0.2718,0.5043,0.55395,0.2662,0.74005,0.569,0.22115,0.4036,0.45185,0,0,0,1.02515,0.6019,0.448,0.44245,0,0.2694,0.21645,312.6607607
ABBV,"AbbVie, Inc.",16.4687,0,3.019,10.4836,0,9.2123,8.7454,0.001609479,0.863937138,1.005823627,0.307456196,0.725476404,0.301637038,0.267169715,0.136062862,0.6131,0.2661,0.1903,0.863937138,1.005823627,0.307456196,0,0,0,6.633120727,0.739920429,2.185,1.397506625,0.002564043,-71.1015,78.7302,0,8.3275,0,0,0,0,0,-171.7143,0,1.345902461,0,0,0,0,0,0.318199258,0.909967846,0,0,11.10714286,11.10714286,0,0.1169,-0.192,-0.0436,-0.0989,0,0,0,0,0,-0.0729,-0.1042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4613,0.1408,183.1244967
ABC,AmerisourceBergen Corp.,2.65245,39.54195,0.1013,13.4838,19.74495,9.91215,8.09975,2.439843365,0.619781311,0.933599721,0.013131855,0.029579635,0.013177322,0.007600954,0.380218689,0.4351,0.2004,0.2084,0.619781311,0.933599721,0.013131855,19.74495,2.30735,15.45105,112.5825748,5.337586512,1.0675,0.536690742,0.136931834,-25.6302,18.9415,0,42.38785,0,0.08995,0.44425,0.307418207,0.307547625,15.06055,0.745229976,4.941257104,3.26765,2.7132,4.6164,0.134,19.74495,0.012587992,0.827560543,0.745229976,1680.465788,5.8348757,3.957593719,0.133432937,0.0665,0.34625,0.15285,0.637,0.74715,0.74655,-0.03045,-0.0256,0.4619,0.23895,0.25995,0.17245,0.1566,0.16515,0.40915,0.0441,0.08105,0.17135,0.19515,0.17435,0.2484,-0.0039,0.0205,0,0.59785,0.17525,0.0513,0.1142,0.0872,0.1149,0.0656,0,0.01405,134.8271847
ABMD,"ABIOMED, Inc.",3.5382,5.6333,4.5139,0,5.8627,0,-52.5539,0,0,0,-0.214121545,0.737157724,-0.292557722,-0.221949996,0,-0.2666,-0.1762,-0.2944,0,0,-0.214121545,5.8627,4.9343,7.1463,12.69258108,0.66151887,4.576,3.973704606,0.265057573,-149.2305,57.5565,0,16.0286,0,0,0,0,0,0,0,1.200211197,-0.1996,-0.2485,0.1298,0,5.8627,-0.085891288,0,0,0,-4.09,-4.09,0,0.1973,0.405,0.1505,0.3979,0.4286,0.4286,0.0571,0.0571,0,0.5978,0.5846,0.0587,0.0585,0.0757,0,0,0,0,0,0,-0.0756,0.0263,-0.1336,0,0,0,-0.1404,-0.3767,-0.047,-0.1194,0,0.0247,0.099,2146.948796
ABT,Abbott Laboratories,1.6461,5.4275,1.1564,7.34805,5.12415,5.541,4.78745,2.092158059,0.804254778,0.92217683,0.214451137,0.576807324,0.187898842,0.159158453,0.195745222,0.3382,0.2255,0.1009,0.804254778,0.92217683,0.214451137,5.12415,6.8791,10.54205,4.224745631,0.582822102,1.54,1.051430122,0.538452367,-84.7895,76.0896,0,15.56625,0,0.31265,0.77035,0.340943081,0.434477883,13.0857,0.451937271,2.464249219,5.176,4.496,4.9728,0.4985,5.12415,0.242446803,0.867055619,0.451937271,1.383990915,7.643267575,2.223112975,0.498840064,0.1028,-0.00335,0.0357,-0.0088,-0.01135,-0.00755,0.00035,-0.0015,0.10645,0.12045,0.16605,0.0932,0.09565,0.10625,0.09995,0.096,0.14955,0.07025,0.0949,0.28805,0.11125,0.0998,0.13075,0.0889,-0.0363,0.1051,0.14755,0.07645,0.1958,0.15215,0.2937,0.1889,0.11545,187.9776266
ACN,Accenture Plc,7.7527,6.74855,1.01325,13.02975,6.11045,7.5997,7.4989,1.573637597,0.679200296,0.994217386,0.107931129,0.304605354,0.120159304,0.072861599,0.320799704,0.4738,0.59435,1.82355,0.679200296,0.994217386,0.107931129,6.11045,6.8134,0,34.03063321,1.844946014,1.4485,1.293133618,0.732321235,0,56.59385,0,12.6465,0,0.0001,0.00045,0.000318309,0.000448201,173.2369,2627.988011,4.424454165,4.9623,4.5866,7.44165,0.2995,6.11045,0.135128479,0.92430654,2627.988011,13469.96283,13.21122098,4.020242421,0.350427906,0.006,0.0116,-0.0098,0.02985,0.00735,0.0072,0.0212,-0.03515,0.72025,0.0528,0.07475,0,0.0545,0.035,0,0.09235,0.0376,0,0.136,0.1317,0,0.10205,0.1075,0,0,0.3307,-0.08325,0,0.0179,0.0393,-0.1109,0,0.02345,389.0606682
ADBE,"Adobe, Inc.",3.2815,17.69555,5.09575,33.6839,7.29175,17.047,14.94845,1.887970455,0.686166114,0.96911037,0.251239848,0.896543272,0.24786849,0.16753363,0.313833886,0.24495,0.1141,0.11485,0.686166114,0.96911037,0.251239848,7.29175,15.65295,0,8.027658922,0.435645236,2.97,2.785593901,0.942769086,0,52.0769,0,6.1673,0,0.16215,0.24885,0.197739416,0.19824672,112.233,0.924421963,1.528468956,2.1378,1.891,1.67525,0,7.29175,0.336170027,0.884739124,0.924421963,63.24553927,8.720883913,8.720883913,0,0.05275,0.03315,0.05485,0.2238,0.23515,0.2364,-0.01895,-0.02085,0,-0.06575,-0.08435,0.105,0.1138,0.0982,0.10295,0.0718,0.03735,0.06795,-0.00435,0.0084,0.22285,0.2348,0.05175,-1,-1,0,0.11425,0,0.1844,0.1066,1.1898,0.0287,0.08435,496.9583655
ADI,"Analog Devices, Inc.",3.06315,3.3695,3.69085,22.2476,7.2818,15.70925,13.78555,1.864943972,0.810488735,0.987507969,0.240217088,0.603394918,0.233645558,0.190415207,0.189511265,0.1556,0.16025,0.35825,0.810488735,0.987507969,0.240217088,7.2818,5.6062,8.7528,5.035413421,0.617966755,5.9245,5.127242607,1.658784075,-104.18465,52.8532,0,18.5187,0,0.10265,0.13765,0.120893615,0.120893615,80.6412,1.806180983,1.342554435,2.408,2.1244,2.89675,0.646,7.2818,0.28670061,0.878822339,1.806180983,0,8.29438967,2.11828638,0.64568193,0.1589,0.6748,0.80795,0.5945,0.5639,0.531,0.00805,0.0151,0.0513,0.4696,0.5368,0.0364,0.0489,0.0505,0.0324,0.0325,0.0224,0.0359,0.02755,-0.00945,0.0562,-0.00715,0.0547,0,0.2662,0.09445,0.12045,-0.04965,0.1874,0.14065,0.02765,-0.03035,-0.01315,233.2407301
ADM,Archer-Daniels-Midland Co.,1.19775,0.8656,0.25875,9.41215,8.27425,10.16105,4.70195,2.156508254,0.709065475,0.850996774,0.045885431,0.060693523,0.039159925,0.027811158,0.290934525,0.0984,0.1276,0.0821,0.709065475,0.850996774,0.045885431,8.27425,2.7275,7.79785,7.892701197,2.065270428,2.133,1.196020009,0.118579506,-4.3142,37.39255,39.8005,31.6432,24.5427,0.24525,0.5508,0.337803192,0.35483462,6.73685,0.511774932,2.24360266,6.2403,3.5655,1.6337,0.1995,8.27425,0.06034389,0.529036304,0.511774932,8.479229295,2.291997708,1.903120263,0.199401561,0.00205,0.0818,0.00905,0.0461,0.04715,0.04885,-0.0008,-0.00155,0.08805,1.08475,0.5092,0.0659,0.12905,0.18365,0.06595,0.9076,0.8291,0.10455,0.20705,0.0299,0.0478,0.1217,0.10945,0.12335,0.1375,0.1196,-0.26295,-0.11135,-0.07025,0.04265,-0.16605,0,-0.0074,35.03346569
ADP,"Automatic Data Processing, Inc.",3.06475,3.78325,1.8787,13.1738,7.175,11.93105,10.2792,0.898339334,0.67365915,0.989129272,0.214859939,0.445482777,0.202428575,0.14323197,0.32634085,0.4551,0.23575,0.22125,0.67365915,0.989129272,0.214859939,7.175,15.9825,0,12.64313736,0.340491617,1.1085,0.166534092,0.101340413,0,50.7505,0,5.7568,0,0.016,0.07625,0.007585196,0.066990825,138.2066,22.14303935,4.832937404,3.23305,2.78305,3.89255,0.5205,7.175,0.182605147,0.860548133,22.14303935,1.070273973,7.186656376,1.848762444,0.514097761,-0.0221,-0.0226,0.01645,-0.0063,0.01565,0.0182,-0.02025,-0.0224,0.10915,-0.0209,-0.0073,0.06525,0.09265,0.10905,0.077,0.06135,0.0599,0.07475,0.0843,0.0232,0.04545,0.0246,0.0286,0.15315,0.18125,-0.08675,-0.00375,0,0.06385,0.0544,5.0719,0,-0.05015,234.1516755
ADS,Alliance Data Systems Corp.,86.0077,0,1.52085,22.1421,10.17215,8.13335,6.75505,4.666244441,0.626019661,0.553078614,0.207759354,0.378511192,0.211092723,0.071288025,0.373980339,0.2219,4.458,0.1894,0.626019661,0.553078614,0.207759354,10.17215,5.9337,0,14.132008,0.356675213,1.3475,0.925791391,0.06809819,0,37.98395,0,17.61895,0,0.5048,122.99325,0.928664276,0.931555864,2.27935,0.182165763,188.676106,11.80525,10.676,3.23725,0,10.17215,0.25292354,0.888022413,0.182165763,3.67447538,9.94785809,9.94785809,0,0.4675,0.2683,0.23355,0.02215,0.163,0.14345,-0.139,-0.1255,0,0.65665,0.74555,0.12585,0.2034,0.2396,0.13515,0.37575,0.20945,0,0.16065,0.11755,-0.1088,-0.3116,-0.48975,0,0,0,0.0955,0,0.39325,-0.6355,1.1489,0,0.0324,281.95813
