symbol,name,Revenue,Revenue Growth,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expense,Operating Expenses,Operating Income,Interest Expense,Earnings before Tax,Income Tax Expense,Net Income - Non-Controlling int,Net Income - Discontinued ops,Net Income,Preferred Dividends,Net Income Com,EPS,EPS Diluted,Weighted Average Shs Out,Weighted Average Shs Out (Dil),Dividend per Share,Gross Margin,EBITDA Margin,EBIT Margin,Profit Margin,Free Cash Flow margin,EBITDA,EBIT,Consolidated Income,Earnings Before Tax Margin,Net Profit Margin,Cash and cash equivalents,Short-term investments,Cash and short-term investments,Receivables,Inventories,Total current assets,"Property, Plant & Equipment Net",Goodwill and Intangible Assets,Long-term investments,Tax assets,Total non-current assets,Total assets,Payables,Short-term debt,Total current liabilities,Long-term debt,Total debt,Deferred revenue,Tax Liabilities,Deposit Liabilities,Total non-current liabilities,Total liabilities,Other comprehensive income,Retained earnings (deficit),Total shareholders equity,Investments,Net Debt,Other Assets,Other Liabilities,Depreciation & Amortization,Stock-based compensation,Operating Cash Flow,Capital Expenditure,Acquisitions and disposals,Investment purchases and sales,Investing Cash flow,Issuance (repayment) of debt,Issuance (buybacks) of shares,Dividend payments,Financing Cash Flow,Effect of forex changes on cash,Net cash flow / Change in cash,Free Cash Flow,Net Cash/Marketcap,market_cap,% return on investment
A,"Agilent Technologies, Inc.",4962500000.0,-0.004496306627984989,2351500000.0,2611000000.0,627000000.0,1677500000.0,2304500000.0,306500000.0,92000000.0,349500000.0,23000000.0,0.0,0.0,326500000.0,0.0,326500000.0,0.94,0.9249999999999999,345741204.5,346500000.0,0.0,0.52485,0.1195,0.08295,0.0595,0.0868,623500000.0,441500000.0,326500000.0,0.06434999999999999,0.05934999999999999,4122000000.0,7000000.0,4129000000.0,732000000.0,634000000.0,4910000000.0,912500000.0,1386000000.0,152500000.0,0.0,3751000000.0,8654000000.0,403000000.0,751000000.0,2103000000.0,2547000000.0,3298000000.0,321500000.0,0.0,0.0,3676000000.0,5779000000.0,-136500000.0,3102000000.0,2867000000.0,159500000.0,-831000000.0,-430000000.0,949000000.0,182000000.0,68500000.0,563000000.0,-120500000.0,-537500000.0,64000000.0,-594000000.0,728000000.0,-99000000.0,0.0,629000000.0,24000000.0,622000000.0,442500000.0,0.12275,7462699516.0,215.40778498609825
AAL,"American Airlines Group, Inc.",9958500000.0,-0.581,5015500000.0,4943000000.0,0.0,3403500000.0,5445000000.0,-502000000.0,372000000.0,-876000000.0,-142000000.0,0.0,0.0,-734000000.0,0.0,-734000000.0,-2.495,-2.495,166227887.5,166227887.5,0.0,0.2482,0.0025,-0.0253,-0.037,-0.01295,48000000.0,-504000000.0,-734000000.0,-0.044,-0.03685,306500000.0,2123000000.0,2429500000.0,384000000.0,278500000.0,3321000000.0,7738000000.0,0.0,0.0,0.0,9398000000.0,12719000000.0,532000000.0,557000000.0,3864000000.0,5291500000.0,5848500000.0,0.0,0.0,0.0,10599500000.0,14463500000.0,-1362000000.0,-2568000000.0,-1744500000.0,2123000000.0,3419000000.0,229000000.0,2775000000.0,552000000.0,30500000.0,465000000.0,-722500000.0,0.0,-665500000.0,-1361500000.0,287000000.0,206500000.0,0.0,877500000.0,0.0,-19000000.0,-257500000.0,-2.1248,613380904.5,492.9765886287626
AAP,"Advance Auto Parts, Inc.",5412623000.0,0.0526,2768397000.0,2644226000.0,0.0,2189841000.0,2189841000.0,454385000.0,23337000.0,431655000.0,161282000.0,0.0,0.0,270373000.0,0.0,270373000.0,2.85,2.83,94631221.0,94459000.0,0.24,0.4885,0.112,0.0841,0.05,0.095,605909000.0,454992000.0,270373000.0,0.0797,0.05,100018000.0,0.0,100018000.0,92560000.0,1631867000.0,1887618000.0,1100338000.0,60806000.0,0.0,0.0,1185345000.0,3072963000.0,998366000.0,1344000.0,1466027000.0,202927000.0,204271000.0,0.0,0.0,0.0,324571000.0,1790598000.0,-6699000.0,1287268000.0,1282365000.0,0.0,104253000.0,63173000.0,466317000.0,150917000.0,16463000.0,699690000.0,-185539000.0,0.0,0.0,-185539000.0,-262560000.0,-64660000.0,-22803000.0,-451491000.0,0.0,62660000.0,514151000.0,-0.0273,1912091872.5,158.2908517934933
AAPL,"Apple, Inc.",54065000000.0,0.3323095443421515,32612000000.0,21453000000.0,1557500000.0,4833000000.0,6390500000.0,15062500000.0,0.0,15303000000.0,4179000000.0,0.0,0.0,11124000000.0,0.0,11124000000.0,8.3635,8.2235,3590089153.0,3587912000.0,0.0,0.39758769643549996,0.297807972403,0.281535224224,0.203420467612,0.23142516289749998,16106000000.0,15225500000.0,11124000000.0,0.28272341893450004,0.203370467612,8262000000.0,16280000000.0,24542000000.0,5283500000.0,753000000.0,28812000000.0,3861000000.0,768000000.0,17959500000.0,1385500000.0,18930000000.0,61342000000.0,8808000000.0,0.0,16114000000.0,0.0,0.0,2945000000.0,105000000.0,0.0,6330500000.0,21626500000.0,38500000.0,30261000000.0,39715500000.0,34239500000.0,-17362500000.0,1289500000.0,2952500000.0,880500000.0,794500000.0,14377000000.0,396000000.0,-319000000.0,-13569500000.0,-15644000000.0,0.0,-4937000000.0,0.0,960000000.0,0.0,-307000000.0,12768000000.0,0.07035,91517931054.0,641.4417492312947
ABBV,"AbbVie, Inc.",14926098000.0,0.050083873896209,4174695000.0,10751403000.0,2101220000.0,3584286000.0,5927006000.0,4824397000.0,-14000000.0,5393158500.0,985901000.0,0.0,0.0,4407257500.0,0.0,4407257500.0,1.325,1.325,0.0,0.0,0.0,0.7200500000000001,0.4255,0.36305,0.2965,0.3226,6319904500.0,5379158500.0,4407257500.0,0.3639,0.29669999999999996,18322000.0,1249810500.0,1268132500.0,3595052000.0,854135000.0,7786246500.0,2250781500.0,9449180000.0,183180000.0,1819370000.0,12541606000.0,20327852500.0,3118892000.0,8000000.0,4829124000.0,16000000.0,24000000.0,0.0,0.0,0.0,1681229000.0,6510353000.0,131644500.0,0.0,13817499500.0,1432990500.0,-1244132500.0,2068927000.0,1702232000.0,940746000.0,161859000.0,5171668000.0,-380282500.0,-1395500000.0,-48103500.0,-2758677500.0,-17383000.0,0.0,0.0,-2408075500.0,0.0,4915000.0,4791385500.0,-0.1387,66190654999.5,127.4937133277452
ABC,AmerisourceBergen Corp.,74856984500.0,0.05435767741885135,72628626000.0,2228358500.0,0.0,1144034000.0,1200305500.0,993692000.0,29153500.0,921694000.0,351621500.0,0.0,4227500.0,570072500.0,0.0,570072500.0,1.9649999999999999,1.94,289757601.0,293909500.0,0.2627428406315,0.0297655978837,0.0142469233482,0.0131787598924,0.007584127636385,0.010376503123100001,1078172500.0,988780500.0,570072500.0,0.012292152274850001,0.007584127636385,1333775000.0,0.0,1333775000.0,3871996500.0,5091459000.0,7183668500.0,665475000.0,2852203500.0,0.0,351810500.0,2531577000.0,14003791500.0,8675223500.0,745000.0,9692977000.0,1260045500.0,1260790500.0,0.0,322861500.0,0.0,1827242000.0,11168408500.0,-23048000.0,3192823000.0,2835383000.0,0.0,-72984500.0,27528000.0,128879500.0,89392000.0,28991000.0,946193500.0,19453000.0,-741000.0,-235178000.0,-166360000.0,-10422000.0,-449320000.0,-76659000.0,-389799500.0,0.0,390034000.0,781011500.0,-0.01265,7017274607.0,258.11895451739036
ABMD,"ABIOMED, Inc.",85713000.0,0.1708,22529000.0,63184000.0,25954000.0,60837000.0,88260000.0,-25076000.0,0.0,-18353000.0,671000.0,0.0,0.0,-19024000.0,0.0,-19024000.0,-0.52,-0.52,37490461.0,36875000.0,0.0,0.7372,-0.157,-0.2141,-0.222,-0.1069,-13455000.0,-18353000.0,-19024000.0,-0.2141,-0.2219,4788000.0,53477000.0,58265000.0,13516000.0,9211000.0,82668000.0,6753000.0,40149000.0,0.0,0.0,46902000.0,129570000.0,3764000.0,0.0,18064000.0,0.0,0.0,1289000.0,3040000.0,0.0,3550000.0,21614000.0,-1002000.0,-263015000.0,107956000.0,53477000.0,-58265000.0,1676000.0,14300000.0,4898000.0,5365000.0,-7362000.0,-1800000.0,4639000.0,5979000.0,8818000.0,0.0,979000.0,0.0,979000.0,568000.0,3003000.0,-9162000.0,0.1506,431008786.0,2583.7341495408828
ABT,Abbott Laboratories,32965714000.0,0.09249324596688,14093860500.0,18871853500.0,3234078500.0,9391114000.0,12710192500.0,6161661000.0,536395500.0,5909973000.0,1267299000.0,0.0,0.0,5186005000.0,0.0,5186005000.0,3.3449999999999998,3.325,1546569213.0,1551502500.0,1.638430986195,0.572337409601,0.28336548635000003,0.2119031506335,0.1592748557225,0.210325745086,9257413000.0,6900505500.0,5186005000.0,0.1826748557225,0.1591748557225,6790209500.0,901539500.0,7691749000.0,6862987500.0,3226805500.0,22815710000.0,7795222500.0,23786934000.0,717457500.0,3231703500.0,33206234500.0,56021944500.0,1408150500.0,3617295000.0,15155961500.0,11894905500.0,15512200500.0,0.0,874931500.0,0.0,19572078500.0,33234179000.0,427037000.0,18134897500.0,22787765500.0,1618997000.0,8721991000.0,1787512500.0,1795802500.0,2356907500.0,376770000.0,8005570500.0,-36986500.0,-5901936500.0,-952710500.0,-7943512500.0,1030078500.0,-592250500.0,-2542967500.0,-42861000.0,-251022500.0,-231825500.0,6953509000.0,-0.0814,37659263227.5,167.45379876796713
ACN,Accenture Plc,23132523000.0,-0.04400918834292982,15319606500.0,7812916500.0,191850000.0,4137170000.0,5033561500.0,2779355000.0,14399000.0,2621961000.0,796750000.0,174091500.0,0.0,1685309500.0,0.0,1685309500.0,2.67,2.55,630088716.0,776469569.0,0.78792205033,0.33779419177500003,0.134885328481,0.113658061729,0.0730522210499,0.1248278505815,3115899000.0,2629259500.0,1859401000.0,0.11334775605700001,0.0728522210499,4689977000.0,5445500.0,4695422500.0,2995439500.0,0.0,6414422500.0,680356500.0,833193000.0,35017000.0,878540500.0,2951098500.0,12545493500.0,801353500.0,368500.0,6403281500.0,903000.0,1271500.0,2017038500.0,967779000.0,0.0,2811747500.0,9434517500.0,-113589000.0,4290729000.0,2835483500.0,40462500.0,-4692657500.0,492333500.0,2979981500.0,486639500.0,439322500.0,3125911000.0,-287500.0,-34199500.0,-1024967500.0,-259469500.0,-3828000.0,-1760774500.0,-601297000.0,-2139664500.0,-109011000.0,617766000.0,2887408500.0,0.09655,24056437260.5,363.7269034202594
ADBE,"Adobe, Inc.",1472926500.0,-0.58855,148366000.0,1324560500.0,282570500.0,640326000.0,979304000.0,345256500.0,1703500.0,350760000.0,157506000.0,0.0,0.0,193254000.0,0.0,193254000.0,0.37,0.365,261880059.0,262235000.0,0.0,0.44965,0.1675,0.11965,0.0655,0.1694,493675000.0,352463500.0,193254000.0,0.11905,0.0656,499743500.0,452493000.0,952236500.0,205439500.0,0.0,1236812000.0,194066000.0,2010988500.0,103619500.0,38708500.0,2404306500.0,3641118500.0,29452000.0,0.0,422276500.0,500000000.0,500000000.0,159146500.0,261324000.0,0.0,773558000.0,1195834500.0,12223000.0,2649957000.0,2445284000.0,556112500.0,-452236500.0,79136000.0,392824500.0,141211500.0,99991000.0,558897000.0,-59796000.0,-791334500.0,101197000.0,-748548000.0,318051500.0,-85223500.0,0.0,238818000.0,7351500.0,56518500.0,499101000.0,0.0244,8597522336.5,750.5111147168589
