name,percent_return_on_investment,sector,above_below_sandp_return,predictions
"Agilent Technologies, Inc.",215.40778498609825,Healthcare,0,0
"American Airlines Group, Inc.",492.9765886287626,Industrials,1,1
"Advance Auto Parts, Inc.",158.2908517934933,Consumer Cyclical,0,1
"Apple, Inc.",641.4417492312947,Technology,1,0
"AbbVie, Inc.",127.4937133277452,Healthcare,0,0
AmerisourceBergen Corp.,258.11895451739036,Healthcare,1,1
"ABIOMED, Inc.",2583.7341495408828,Healthcare,1,1
Abbott Laboratories,167.45379876796713,Healthcare,0,0
Accenture Plc,363.7269034202594,Technology,1,1
"Adobe, Inc.",750.5111147168589,Technology,1,1
"Analog Devices, Inc.",246.6091458153581,Technology,1,1
Archer-Daniels-Midland Co.,64.20678029593557,Consumer Defensive,0,0
"Automatic Data Processing, Inc.",316.68820910527074,Industrials,1,1
Alliance Data Systems Corp.,239.24486918376945,Financial Services,1,1
"Autodesk, Inc.",263.5355712965815,Technology,1,1
Ameren Corp.,139.46566254258565,Utilities,0,0
"American Electric Power Co., Inc.",132.23350253807112,Utilities,0,0
The AES Corp.,9.185369908561917,Utilities,0,0
"Aflac, Inc.",80.82494969818913,Financial Services,0,0
Allergan Plc,275.6212069162945,Healthcare,1,0
"American International Group, Inc.",40.946389496717714,Financial Services,0,0
Apartment Investment & Management Co.,138.04546642278547,Real Estate,0,0
"Assurant, Inc.",195.41298156198474,Financial Services,0,0
Arthur J. Gallagher & Co.,231.88377535101404,Financial Services,1,1
"Akamai Technologies, Inc.",63.01901435778036,Technology,0,1
Albemarle Corp.,157.43469524447426,Basic Materials,0,0
"Align Technology, Inc.",1296.549757627602,Healthcare,1,0
"Alaska Air Group, Inc.",546.9907407407408,Industrials,1,1
The Allstate Corp.,228.13408585599456,Financial Services,0,0
"Alexion Pharmaceuticals, Inc.",289.7008337420304,Healthcare,1,0
"Applied Materials, Inc.",255.01813784764204,Technology,1,1
"Advanced Micro Devices, Inc.",124.44444444444447,Technology,0,0
"AMETEK, Inc.",237.23258989531183,Technology,1,0
"Affiliated Managers Group, Inc.",98.35750032080068,Financial Services,0,0
"Amgen, Inc.",243.69801084990956,Healthcare,1,0
"Ameriprise Financial, Inc.",219.29270946681174,Financial Services,0,0
American Tower Corp.,230.84142394822013,Communication Services,1,0
"Amazon.com, Inc.",1028.0622123472463,Technology,1,1
"ANSYS, Inc.",242.0059582919563,Technology,1,1
"Anthem, Inc.",375.0089863407621,Healthcare,1,0
Aon Plc,284.445000625704,Financial Services,1,1
A. O. Smith Corp.,549.7655334114888,Industrials,1,0
Apache Corp.,-61.37907933773567,Energy,0,0
"Air Products & Chemicals, Inc.",184.17579229820876,Basic Materials,0,0
Amphenol Corp.,282.1664183868908,Technology,1,1
Aptiv Plc,271.72671353251314,Consumer Cyclical,1,0
"Alexandria Real Estate Equities, Inc.",127.87931997765185,Real Estate,0,0
"Arconic, Inc.",-22.407688416793132,Industrials,0,0
Atmos Energy Corp.,267.30284479654307,Utilities,1,0
"Activision Blizzard, Inc.",359.4159966144731,Technology,1,1
"AvalonBay Communities, Inc.",100.84215072338587,Real Estate,0,0
"Broadcom, Inc.",1257.5929752066115,Technology,1,1
Avery Dennison Corp.,170.0141807399768,Industrials,0,0
"American Water Works Co., Inc.",297.195070123247,Utilities,1,0
American Express Co.,145.58411214953273,Financial Services,0,1
"AutoZone, Inc.",396.86644023227785,Consumer Cyclical,1,0
The Boeing Co.,498.7441393168118,Industrials,1,0
Bank of America Corp.,108.3118793674145,Financial Services,0,0
"Baxter International, Inc.",137.17203733051596,Healthcare,0,0
BB&T Corp.,103.3029381965552,Financial Services,0,0
"Best Buy Co., Inc.",68.37222378408771,Consumer Cyclical,0,0
"Becton, Dickinson & Co.",270.0021769102387,Healthcare,1,0
"Franklin Resources, Inc.",-8.70733249051834,Financial Services,0,0
"Biogen, Inc.",475.5145305185053,Healthcare,1,0
The Bank of New York Mellon Corp.,93.46465390279823,Financial Services,0,0
"Booking Holdings, Inc.",491.5196633759507,Consumer Cyclical,1,1
"BlackRock, Inc.",137.58748351759812,Financial Services,0,0
Ball Corp.,204.52380952380955,Consumer Cyclical,0,0
Bristol-Myers Squibb Co.,132.0653256323442,Healthcare,0,0
"Broadridge Financial Solutions, Inc.",563.1346578366445,Industrials,1,1
Boston Scientific Corp.,332.2192513368984,Healthcare,1,0
"BorgWarner, Inc.",103.63829787234044,Consumer Cyclical,0,0
"Boston Properties, Inc.",69.62977498691784,Real Estate,0,0
"Citigroup, Inc.",67.46428571428574,Financial Services,0,0
"Conagra Brands, Inc.",106.99787943047563,Consumer Defensive,0,0
"Cardinal Health, Inc.",33.61714204626082,Healthcare,0,0
"Caterpillar, Inc.",90.62733636919734,Industrials,0,0
Chubb Ltd.,160.88746569075937,Financial Services,0,0
"Cboe Global Markets, Inc.",350.3828784606322,Financial Services,1,1
"CBRE Group, Inc.",185.13205086403647,Real Estate,0,0
"ViacomCBS, Inc.",264.8416886543536,Consumer Cyclical,1,0
Crown Castle International Corp.,186.46492782983037,Real Estate,0,0
Carnival Corp.,68.31179543579876,Consumer Cyclical,0,0
"Cadence Design Systems, Inc.",513.0222841225627,Technology,1,1
CDW Corp.,190.22675338372298,Technology,0,0
Celanese Corp.,200.82381847087726,Basic Materials,0,0
Celgene Corporation,200.8224811514736,Healthcare,0,0
Cerner Corp.,204.4946492271106,Technology,0,1
"CF Industries Holdings, Inc.",93.97475589426057,Basic Materials,0,0
"Church & Dwight Co., Inc.",261.59003831417624,Consumer Defensive,1,0
"C.H. Robinson Worldwide, Inc.",35.224855666970534,Industrials,0,0
"Charter Communications, Inc.",814.1300607867875,Communication Services,1,1
Cigna Corp.,509.52447945976365,Healthcare,1,0
Cincinnati Financial Corp.,178.70189749955665,Financial Services,0,0
Colgate-Palmolive Co.,67.85276073619634,Consumer Defensive,0,0
The Clorox Co.,133.85949696444058,Consumer Defensive,0,0
"Comerica, Inc.",148.98766935606636,Financial Services,0,0
Comcast Corp.,333.4078212290503,Consumer Cyclical,1,0
"CME Group, Inc.",168.5845617372008,Financial Services,0,1
"Chipotle Mexican Grill, Inc.",127.98532452028071,Consumer Cyclical,0,0
"Cummins, Inc.",114.9783315276273,Industrials,0,0
CMS Energy Corp.,211.72519083969465,Utilities,0,0
Centene Corp.,1057.5163398692807,Healthcare,1,0
"CenterPoint Energy, Inc.",98.08416010947658,Utilities,0,0
Capital One Financial Corp.,140.3437418000525,Financial Services,0,1
Cabot Oil & Gas Corp.,184.9016480595428,Energy,0,0
"The Cooper Cos., Inc.",655.6583818085668,Healthcare,1,0
ConocoPhillips,38.193253287592896,Energy,0,0
Costco Wholesale Corp.,365.6152904622916,Consumer Defensive,1,0
Campbell Soup Co.,23.99630826026764,Consumer Defensive,0,0
"Copart, Inc.",651.4823261117447,Consumer Cyclical,1,0
"salesforce.com, inc.",353.953840332955,Technology,1,1
"Cisco Systems, Inc.",144.89947877885325,Technology,0,0
CSX Corp.,248.96086369770586,Industrials,1,0
Cintas Corp.,629.6637234642118,Consumer Cyclical,1,1
"CenturyLink, Inc.",-58.564988730277975,Communication Services,0,0
Cognizant Technology Solutions Corp.,155.78364869689398,Technology,0,1
"Citrix Systems, Inc.",131.5151515151515,Technology,0,1
CVS Health Corp.,145.26566217287865,Healthcare,0,0
Chevron Corp.,48.479228486646896,Energy,0,0
"Concho Resources, Inc.",119.22374791650132,Energy,0,0
