symbol,name,priceBookValueRatio,priceToBookRatio,priceToSalesRatio,priceEarningsRatio,receivablesTurnover,priceToFreeCashFlowsRatio,priceToOperatingCashFlowsRatio,enterpriseValueMultiple,niperEBT,ebtperEBIT,ebitperRevenue,grossProfitMargin,pretaxProfitMargin,netProfitMargin,effectiveTaxRate,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,nIperEBT,eBTperEBIT,eBITperRevenue,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,daysOfInventoryOutstanding,operatingCycle,daysOfPayablesOutstanding,cashConversionCycle,debtRatio,debtEquityRatio,longtermDebtToCapitalization,totalDebtToCapitalization,interestCoverage,cashFlowToDebtRatio,companyEquityMultiplier,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,payoutRatio,receivablesTurnover,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,cashFlowCoverageRatios,shortTermCoverageRatios,capitalExpenditureCoverageRatios,dividendpaidAndCapexCoverageRatios,dividendPayoutRatio,Gross Profit Growth,EBIT Growth,Operating Income Growth,Net Income Growth,EPS Growth,EPS Diluted Growth,Weighted Average Shares Growth,Weighted Average Shares Diluted Growth,Dividends per Share Growth,Operating Cash Flow growth,Free Cash Flow growth,10Y Revenue Growth (per Share),5Y Revenue Growth (per Share),3Y Revenue Growth (per Share),10Y Operating CF Growth (per Share),5Y Operating CF Growth (per Share),3Y Operating CF Growth (per Share),10Y Net Income Growth (per Share),5Y Net Income Growth (per Share),3Y Net Income Growth (per Share),10Y Shareholders Equity Growth (per Share),5Y Shareholders Equity Growth (per Share),3Y Shareholders Equity Growth (per Share),10Y Dividend per Share Growth (per Share),5Y Dividend per Share Growth (per Share),3Y Dividend per Share Growth (per Share),Receivables growth,Inventory Growth,Asset Growth,Book Value per Share Growth,Debt Growth,R&D Expense Growth,SG&A Expenses Growth,% return on investment
A,"Agilent Technologies, Inc.",2.5517,5.17165,1.4813,6.30885,7.0014,18.1807,13.57995,16.746222929686198,-1.7200660611065102,0.47592839967940304,0.082973567389851,0.524850085453465,0.0572282005122115,0.059362405493291644,2.7200660611065093,0.0799,0.09975,0.0513,-1.7200660611065102,0.47592839967940304,0.082973567389851,7.0014,3.8529,8.0338,5.429030310349001,0.5750722109783251,2.7640000000000002,2.8940549227386003,2.4819720588792,-97.99795,53.36445,0.0,29.2314,0.0,0.38115,1.1513,0.47049596436606,0.5351639662574901,4.6438999999999995,0.16748736634816,3.02061372408825,1.6242,1.2763,11.89585,0.0,7.0014,0.11146971103890349,0.764975558468515,0.16748736634816,204.23917388407727,4.755422019616,4.755422019616,0.0,-0.002250000000000002,3.198,5.0508500000000005,11.0099,10.9209,10.753749999999998,-0.02195,-0.023600000000000003,0.0,0.14975000000000002,0.30285,-0.030100000000000002,0.08565,0.041999999999999996,0.0421,-0.003000000000000001,-0.06355,0.0079,0.12195,0.03385,-0.021650000000000003,0.01,-0.004,0.0,0.0,0.0,0.11660000000000001,0.07579999999999999,0.18005,0.15184999999999998,0.31884999999999997,-0.0674,0.0188,215.40778498609825
AAL,"American Airlines Group, Inc.",0.0,0.0,0.11565,0.0,27.3348,0.0,2.20925,61.8128546099291,0.0,-0.7981072555205,-0.018155714958621002,0.49574422282785,-0.0182582752251345,-0.0474754024873045,0.0,-0.06889999999999999,0.2701,-0.015200000000000002,0.0,-0.7981072555205,-0.018155714958621002,27.3348,5.0271,37.6691,1.3784623253139499,0.83332595515848,0.819,0.68775594000104,0.0748545949527675,-19.8189,13.112300000000001,0.0,19.26545,0.0,0.45185,-3.08765,1.6175209305804,1.48683775955325,-0.4848,0.09547396980289749,0.0,3.26045,-1.8499999999999999,1.8491,0.0,27.3348,0.0513351620320405,-0.56576165596597,0.09547396980289749,0.746942071696965,0.6387043130657251,0.6387043130657251,0.0,0.039349999999999996,0.774,0.88765,0.49305,0.55295,0.55295,0.09755,0.0,0.0,1.00075,0.16005000000000003,-0.06609999999999999,-0.12145,-0.13695,-0.15725,-0.09305,-0.27055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04605,0.0637,-0.0017000000000000001,-0.06235000000000001,0.009750000000000002,0.0,0.01435,492.9765886287626
AAP,"Advance Auto Parts, Inc.",2.9566,3.1038,0.706,14.1684,57.0461,7.4185,5.4613,0.49998432107792,0.62636364689393,0.9487089882899,0.0840612767599,0.48852949854442,0.083949131502416,0.04995230593374,0.37363635310607,0.1777,0.2108,0.1883,0.62636364689393,0.9487089882899,0.0840612767599,57.0461,1.1875,3.3258,4.9190548722302,1.7613694014539,1.288,0.13136047289716,0.068223845809115,-215.1539,6.2418,0.0,67.3248,0.0,0.0665,0.1593,0.13662431360298,0.1374048522974,19.4966,3.4253026616602,2.3963247593314,7.4073,5.443,1.0589,0.084,57.0461,0.1292700415307,0.73482685189155,3.4253026616602,520.60267857143,3.7711208964153,3.3583722917127,0.084339042729858,0.1022,0.0979,0.0951,0.1358,0.1355,0.1365,-0.0021,-0.001,0.0,0.4615,0.7107,0.0821,0.1099,0.0962,0.0,0.2582,0.3307,0.0,0.1104,0.0951,0.0,0.1581,0.1181,0.0,0.0,0.0,-0.0478,0.0054,0.0367,0.1952,-0.5715,0.0,0.1036,158.2908517934933
AAPL,"Apple, Inc.",5.42765,4.62715,3.9823500000000003,19.54495,10.0906,17.3279,15.3596,0.49334083094304004,0.719160756615315,1.0,0.28273640110437004,0.397586915640635,0.277749115378715,0.20338830352867,0.280839243384685,0.45135,0.27675,0.49195,0.719160756615315,1.0,0.28273640110437004,10.0906,2.25245,87.81735,14.102056831710499,0.8853969936366699,2.3765,2.0970360604463,0.500422812263825,-8.084,49.27775,0.0,57.44235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5372290694805502,2.27305,2.00935,1.3054,0.0,10.0906,0.26093450150973,0.8832677819814749,0.0,0.0,8.57109702255115,8.57109702255115,0.0,0.39815,0.44255,0.48795,0.5237,0.5001,0.5035000000000001,0.0092,0.00975,0.0,0.44455,0.45345,0.17735,0.33475,0.3209,0.2718,0.5043,0.5539499999999999,0.2662,0.74005,0.569,0.22115,0.4036,0.45185,0.0,0.0,0.0,1.02515,0.6019,0.44799999999999995,0.44245,0.0,0.2694,0.21645,641.4417492312947
ABBV,"AbbVie, Inc.",16.4687,0.0,3.019,10.4836,0.0,9.2123,8.7454,0.001609479305741,0.86393713813069,1.0058236272879,0.30745619644456,0.72547640363218,0.3016370379844,0.26716971479729,0.13606286186931,0.6131,0.2661,0.1903,0.86393713813069,1.0058236272879,0.30745619644456,0.0,0.0,0.0,6.6331207267844,0.73992042945478,2.185,1.3975066254605,0.0025640425731034,-71.1015,78.7302,0.0,8.3275,0.0,0.0,0.0,0.0,0.0,-171.7143,0.0,1.3459024610522,0.0,0.0,0.0,0.0,0.0,0.31819925821716,0.90996784565916,0.0,0.0,11.107142857143,11.107142857143,0.0,0.1169,-0.192,-0.0436,-0.0989,0.0,0.0,0.0,0.0,0.0,-0.0729,-0.1042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4613,0.1408,127.4937133277452
ABC,AmerisourceBergen Corp.,2.65245,39.54195,0.1013,13.483799999999999,19.74495,9.91215,8.09975,2.4398433651964497,0.61978131131356,0.933599721238465,0.013131854581491,0.0295796348827095,0.013177321909982,0.007600954024112349,0.38021868868644004,0.4351,0.2004,0.2084,0.61978131131356,0.933599721238465,0.013131854581491,19.74495,2.30735,15.45105,112.582574774055,5.3375865117349,1.0675,0.536690741545155,0.136931833616435,-25.630200000000002,18.941499999999998,0.0,42.38785,0.0,0.08995,0.44425,0.30741820672019005,0.307547624902405,15.06055,0.7452299756375951,4.9412571041812,3.26765,2.7132,4.6164,0.134,19.74495,0.012587992034947499,0.8275605430433,0.7452299756375951,1680.465788469395,5.8348757003934,3.95759371881,0.133432937144805,0.0665,0.34625,0.15284999999999999,0.637,0.74715,0.7465499999999999,-0.03045,-0.0256,0.46190000000000003,0.23895,0.25995,0.17245,0.15660000000000002,0.16515,0.40915,0.0441,0.08105,0.17135,0.19515000000000002,0.17435,0.2484,-0.0039,0.020499999999999997,0.0,0.59785,0.17524999999999996,0.0513,0.1142,0.0872,0.1149,0.0656,0.0,0.01405,258.11895451739036
ABMD,"ABIOMED, Inc.",3.5382,5.6333,4.5139,0.0,5.8627,0.0,-52.5539,0.0,0.0,0.0,-0.21412154515651,0.73715772403253,-0.29255772169916,-0.22194999591661,0.0,-0.2666,-0.1762,-0.2944,0.0,0.0,-0.21412154515651,5.8627,4.9343,7.1463,12.692581075078,0.66151887010882,4.576,3.9737046058459,0.26505757307352,-149.2305,57.5565,0.0,16.0286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2002111971544,-0.1996,-0.2485,0.1298,0.0,5.8627,-0.085891288369326,0.0,0.0,0.0,-4.09,-4.09,0.0,0.1973,0.405,0.1505,0.3979,0.4286,0.4286,0.0571,0.0571,0.0,0.5978,0.5846,0.0587,0.0585,0.0757,0.0,0.0,0.0,0.0,0.0,0.0,-0.0756,0.0263,-0.1336,0.0,0.0,0.0,-0.1404,-0.3767,-0.047,-0.1194,0.0,0.0247,0.099,2583.7341495408828
ABT,Abbott Laboratories,1.6461000000000001,5.4275,1.1564,7.348050000000001,5.12415,5.541,4.78745,2.0921580590188498,0.8042547779015901,0.922176830457685,0.214451137475635,0.5768073237847651,0.187898841980425,0.15915845271215,0.19574522209841,0.3382,0.22549999999999998,0.1009,0.8042547779015901,0.922176830457685,0.214451137475635,5.12415,6.8791,10.54205,4.2247456308826,0.58282210199193,1.54,1.051430121870625,0.5384523667847749,-84.7895,76.08959999999999,0.0,15.56625,0.0,0.31265,0.77035,0.340943081018735,0.43447788293326495,13.0857,0.451937271417185,2.4642492191154,5.176,4.496,4.9728,0.49849999999999994,5.12415,0.242446802513335,0.8670556186692551,0.451937271417185,1.38399091534225,7.6432675751268,2.2231129751395002,0.498840064160625,0.1028,-0.0033500000000000058,0.0357,-0.008799999999999988,-0.011349999999999999,-0.007550000000000001,0.00035000000000000005,-0.0015,0.10644999999999999,0.12045,0.16605,0.0932,0.09565,0.10625000000000001,0.09995,0.096,0.14955000000000002,0.07025,0.09490000000000001,0.28805000000000003,0.11125,0.0998,0.13075,0.0889,-0.0363,0.1051,0.14755,0.07644999999999999,0.1958,0.15215,0.2937,0.1889,0.11545,167.45379876796713
ACN,Accenture Plc,7.7527,6.74855,1.01325,13.02975,6.11045,7.5997,7.4989,1.5736375972693502,0.6792002957456,0.994217385739435,0.107931128639105,0.30460535395258004,0.12015930361072,0.0728615990612275,0.32079970425439996,0.4738,0.5943499999999999,1.82355,0.6792002957456,0.994217385739435,0.107931128639105,6.11045,6.8134,0.0,34.0306332057025,1.8449460144518,1.4485000000000001,1.2931336179982,0.73232123534827,0.0,56.59385,0.0,12.6465,0.0,0.0001,0.00045,0.00031830864452841,0.00044820065648075,173.2369,2627.98801086685,4.42445416540495,4.9623,4.586600000000001,7.44165,0.2995,6.11045,0.1351284788109,0.924306539516405,2627.98801086685,13469.962833462701,13.211220984284001,4.0202424213185,0.350427906477965,0.006000000000000002,0.011599999999999992,-0.009800000000000003,0.029850000000000005,0.007350000000000002,0.007199999999999998,0.0212,-0.03515,0.7202500000000001,0.0528,0.07475000000000001,0.0,0.05450000000000001,0.035,0.0,0.09235,0.0376,0.0,0.136,0.13169999999999998,0.0,0.10205,0.1075,0.0,0.0,0.3307,-0.08325,0.0,0.0179,0.0393,-0.11090000000000005,0.0,0.02345,363.7269034202594
ADBE,"Adobe, Inc.",3.2815,17.69555,5.09575,33.6839,7.29175,17.047,14.948450000000001,1.8879704546279998,0.686166113991445,0.969110370443595,0.25123984832322,0.896543271918095,0.247868489870245,0.16753363037356,0.313833886008555,0.24495,0.11410000000000001,0.11485000000000001,0.686166113991445,0.969110370443595,0.25123984832322,7.29175,15.65295,0.0,8.02765892202445,0.435645236341415,2.9699999999999998,2.7855939005883,0.9427690858936499,0.0,52.0769,0.0,6.1673,0.0,0.16215000000000002,0.24885000000000002,0.19773941648971,0.198246719532585,112.23299999999999,0.924421962544195,1.52846895624605,2.1378,1.891,1.6752500000000001,0.0,7.29175,0.336170026659195,0.88473912356344,0.924421962544195,63.245539265825,8.72088391309485,8.72088391309485,0.0,0.052750000000000005,0.03315000000000001,0.05484999999999998,0.2238,0.23515000000000003,0.2364,-0.01895,-0.02085,0.0,-0.06575,-0.08435,0.10500000000000001,0.11380000000000001,0.0982,0.10295,0.0718,0.03735,0.06795000000000001,-0.00435,0.008400000000000001,0.22285,0.23479999999999998,0.051750000000000004,-1.0,-1.0,0.0,0.11425000000000002,0.0,0.1844,0.1066,1.1898,0.028700000000000003,0.08435000000000001,750.5111147168589
