Ticker,Name,Price,Dividend Yield,Market Cap ($M),Forward P/E Ratio,Payout Ratio,Beta
A,"Agilent Technologies, Inc.",85.535,0.007709484,26393.47147,25.16,0.192997941,1.23149546
AAL,"American Airlines Group, Inc.",30.57,0.013404826,13071.65072,8.01,0.104865772,1.698437857
AAP,"Advance Auto Parts, Inc.",134.17,0.001816668,9149.859334,21.59,0.03861563,0.854175236
AAPL,"Apple, Inc.",325.375,0.009511592,1398447.163,25.51,0.238339775,1.452020401
ABBV,"AbbVie, Inc.",97.12,0.045729167,141966.72,N/A,N/A,0.901199736
ABC,AmerisourceBergen Corp.,95.74,0.016918685,19471.20644,30.7,0.51306718,0.929186946
ABMD,"ABIOMED, Inc.",168.1,N/A,7922.97666,30.97,N/A,1.107100306
ABT,Abbott Laboratories,88.97,0.014803185,157599.058,N/A,N/A,0.973020008
ACN,Accenture Plc,212.075,0.013764495,139364.5244,27.8,0.382765084,0.94546625
ADBE,"Adobe, Inc.",373.31,N/A,180107.4573,61.47,N/A,1.287064985
ADI,"Analog Devices, Inc.",118.43,0.017967146,43123.34352,32.17,0.570466152,1.622102701
ADM,Archer-Daniels-Midland Co.,45.645,0.030355594,25674.35832,N/A,N/A,0.937110932
ADP,"Automatic Data Processing, Inc.",178,0.018430072,76839.25938,31.25,0.575832587,1.000911327
ADS,Alliance Data Systems Corp.,104.485,0.024303211,4775.567378,-23.7,-0.571493367,1.233756793
ADSK,"Autodesk, Inc.",207.16,N/A,45282.7914,308.46,N/A,1.370946351
AEE,Ameren Corp.,84.635,0.022546576,20732.9481,25.9,0.581502112,0.196867094
AEP,"American Electric Power Co., Inc.",102.05,0.026217961,50491.77344,23.63,0.620686461,0.0887021
AES,The AES Corp.,21.005,0.026262626,13802.33547,27.43,0.7128868,0.645459172
AFL,"Aflac, Inc.",52.49,0.020400453,38476.42142,11.81,0.242893127,0.763082906
AGN,Allergan Plc,201.595,0.014727101,65980.39423,-12.61,-0.185187502,0.514985856
AIG,"American International Group, Inc.",54.475,0.023499174,47386.28544,26.59,0.624725462,1.066843654
AIV,Apartment Investment & Management Co.,54.05,0.029044229,8035.54437,16.92,0.492255031,0.420023069
AIZ,"Assurant, Inc.",137.175,0.017190746,8465.39196,32.92,0.575912461,0.801610805
AJG,Arthur J. Gallagher & Co.,106.79,0.016014898,20201.94,29.64,0.477432965,0.769976942
AKAM,"Akamai Technologies, Inc.",97.805,N/A,15573.48837,35.07,N/A,1.058605675
ALB,Albemarle Corp.,86.895,0.016969661,8982.05543,16.08,0.266065744,1.686943988
ALGN,"Align Technology, Inc.",274.49,N/A,20842.88598,49.25,N/A,1.555129481
ALK,"Alaska Air Group, Inc.",65.7,0.021688613,7939.65,10.53,0.224456095,0.956678942
ALL,The Allstate Corp.,123.49,0.01598721,39906.9,8.64,0.139903187,0.782132871
ALLE,Allegion Plc,138.43,0.007397201,12812.32513,28.7,0.211451553,0.905400911
ALXN,"Alexion Pharmaceuticals, Inc.",104.82,N/A,22684.74646,9.72,N/A,1.500471825
