symbol,name,priceBookValueRatio,priceToBookRatio,priceToSalesRatio,priceEarningsRatio,receivablesTurnover,priceToFreeCashFlowsRatio,priceToOperatingCashFlowsRatio,enterpriseValueMultiple,niperEBT,ebtperEBIT,ebitperRevenue,grossProfitMargin,pretaxProfitMargin,netProfitMargin,effectiveTaxRate,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,nIperEBT,eBTperEBIT,eBITperRevenue,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,daysOfInventoryOutstanding,operatingCycle,daysOfPayablesOutstanding,cashConversionCycle,debtRatio,debtEquityRatio,longtermDebtToCapitalization,totalDebtToCapitalization,interestCoverage,cashFlowToDebtRatio,companyEquityMultiplier,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,payoutRatio,receivablesTurnover,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,cashFlowCoverageRatios,shortTermCoverageRatios,capitalExpenditureCoverageRatios,dividendpaidAndCapexCoverageRatios,dividendPayoutRatio,Gross Profit Growth,EBIT Growth,Operating Income Growth,Net Income Growth,EPS Growth,EPS Diluted Growth,Weighted Average Shares Growth,Weighted Average Shares Diluted Growth,Dividends per Share Growth,Operating Cash Flow growth,Free Cash Flow growth,10Y Revenue Growth (per Share),5Y Revenue Growth (per Share),3Y Revenue Growth (per Share),10Y Operating CF Growth (per Share),5Y Operating CF Growth (per Share),3Y Operating CF Growth (per Share),10Y Net Income Growth (per Share),5Y Net Income Growth (per Share),3Y Net Income Growth (per Share),10Y Shareholders Equity Growth (per Share),5Y Shareholders Equity Growth (per Share),3Y Shareholders Equity Growth (per Share),10Y Dividend per Share Growth (per Share),5Y Dividend per Share Growth (per Share),3Y Dividend per Share Growth (per Share),Receivables growth,Inventory Growth,Asset Growth,Book Value per Share Growth,Debt Growth,R&D Expense Growth,SG&A Expenses Growth,% return on investment
A,"Agilent Technologies, Inc.",2.5517,5.17165,1.4813,6.30885,7.0014,18.1807,13.57995,16.746222929686198,-1.7200660611065102,0.47592839967940304,0.082973567389851,0.524850085453465,0.0572282005122115,0.059362405493291644,2.7200660611065093,0.0799,0.09975,0.0513,-1.7200660611065102,0.47592839967940304,0.082973567389851,7.0014,3.8529,8.0338,5.429030310349001,0.5750722109783251,2.7640000000000002,2.8940549227386003,2.4819720588792,-97.99795,53.36445,0.0,29.2314,0.0,0.38115,1.1513,0.47049596436606,0.5351639662574901,4.6438999999999995,0.16748736634816,3.02061372408825,1.6242,1.2763,11.89585,0.0,7.0014,0.11146971103890349,0.764975558468515,0.16748736634816,204.23917388407727,4.755422019616,4.755422019616,0.0,-0.002250000000000002,3.198,5.0508500000000005,11.0099,10.9209,10.753749999999998,-0.02195,-0.023600000000000003,0.0,0.14975000000000002,0.30285,-0.030100000000000002,0.08565,0.041999999999999996,0.0421,-0.003000000000000001,-0.06355,0.0079,0.12195,0.03385,-0.021650000000000003,0.01,-0.004,0.0,0.0,0.0,0.11660000000000001,0.07579999999999999,0.18005,0.15184999999999998,0.31884999999999997,-0.0674,0.0188,187.50876274347738
AAL,"American Airlines Group, Inc.",0.0,0.0,0.11565,0.0,27.3348,0.0,2.20925,61.8128546099291,0.0,-0.7981072555205,-0.018155714958621002,0.49574422282785,-0.0182582752251345,-0.0474754024873045,0.0,-0.06889999999999999,0.2701,-0.015200000000000002,0.0,-0.7981072555205,-0.018155714958621002,27.3348,5.0271,37.6691,1.3784623253139499,0.83332595515848,0.819,0.68775594000104,0.0748545949527675,-19.8189,13.112300000000001,0.0,19.26545,0.0,0.45185,-3.08765,1.6175209305804,1.48683775955325,-0.4848,0.09547396980289749,0.0,3.26045,-1.8499999999999999,1.8491,0.0,27.3348,0.0513351620320405,-0.56576165596597,0.09547396980289749,0.746942071696965,0.6387043130657251,0.6387043130657251,0.0,0.039349999999999996,0.774,0.88765,0.49305,0.55295,0.55295,0.09755,0.0,0.0,1.00075,0.16005000000000003,-0.06609999999999999,-0.12145,-0.13695,-0.15725,-0.09305,-0.27055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04605,0.0637,-0.0017000000000000001,-0.06235000000000001,0.009750000000000002,0.0,0.01435,711.7827170343854
AAN,"Aaron's, Inc.",1.5314999999999999,1.9561000000000002,0.7885500000000001,12.378599999999999,27.7757,59.127849999999995,19.9267,0.12680527098668498,0.629827438835715,0.980104601304375,0.10314330136371,0.8128458425056,0.103086681837515,0.0636649832325035,0.370172561164285,0.0,0.12390000000000001,0.0,0.629827438835715,0.980104601304375,0.10314330136371,27.7757,2.51545,0.0,1.89670903915825,1.2877861791085499,0.0,0.0,0.0,0.0,13.657399999999999,0.0,39.026399999999995,0.0,0.03475,0.05235,0.0,0.0,52.300399999999996,0.0,1.51150307738585,1.4943,1.0025,1.1184,0.0335,27.7757,0.068380047583183,0.534764347742045,0.0,0.0,2.8429234891432,2.58978930742805,0.033015284370888,0.08960000000000001,0.13155,0.14805000000000001,0.1499,0.14024999999999999,0.14265,0.0049499999999999995,0.0,-0.04145000000000001,0.34919999999999995,0.30845000000000006,0.1232,0.101,0.11485000000000001,-0.059000000000000004,0.19295,0.1096,0.137,0.1398,0.13274999999999998,0.14685,0.16275,0.134,0.14745000000000003,0.09225,0.0635,0.0823,0.0,0.1041,0.1287,-0.3807,0.0,0.08135,97.60122573097262
AAON,"AAON, Inc.",3.4176,3.4176,1.6373000000000002,16.86505,6.735099999999999,20.69945,10.962299999999999,0.287752856373992,0.650628796881525,0.999210221913555,0.15642551139895,0.25052335465143,0.15607883154443,0.1012719129193975,0.349371203118475,0.1997,0.2112,0.2295,0.650628796881525,0.999210221913555,0.15642551139895,6.735099999999999,5.38935,7.6835,3.8612653861331,1.54800258261635,2.8235,1.6912957848966,0.46880246399472,-61.94345,54.61345,0.0,16.0563,0.0,0.00025,0.0003,0.0,0.000321829345754815,2802.7,297.401315789475,1.3483924399791,0.6732,0.437,0.25535,0.2505,6.735099999999999,0.15788556709112,0.62382236321396,297.401315789475,297.401315789475,3.27232679156815,2.06359953188605,0.31532098965726,-0.0887,-0.12985000000000002,-0.12195000000000002,-0.1203,-0.10075,-0.0914,-0.021949999999999997,-0.027299999999999998,0.06315,0.03134999999999999,-0.04620000000000002,0.07485,0.08465,0.02745,0.13505,0.24559999999999998,0.20095,0.1031,0.24,0.109,0.14865,0.11285,0.11065,0.0,0.0,0.0889,0.027749999999999997,-0.020750000000000005,0.06795,0.13044999999999998,-0.9878,0.0,-0.02605,369.5760730338251
AAP,"Advance Auto Parts, Inc.",2.9566,3.1038,0.706,14.1684,57.0461,7.4185,5.4613,0.49998432107792,0.62636364689393,0.9487089882899,0.0840612767599,0.48852949854442,0.083949131502416,0.04995230593374,0.37363635310607,0.1777,0.2108,0.1883,0.62636364689393,0.9487089882899,0.0840612767599,57.0461,1.1875,3.3258,4.9190548722302,1.7613694014539,1.288,0.13136047289716,0.068223845809115,-215.1539,6.2418,0.0,67.3248,0.0,0.0665,0.1593,0.13662431360298,0.1374048522974,19.4966,3.4253026616602,2.3963247593314,7.4073,5.443,1.0589,0.084,57.0461,0.1292700415307,0.73482685189155,3.4253026616602,520.60267857143,3.7711208964153,3.3583722917127,0.084339042729858,0.1022,0.0979,0.0951,0.1358,0.1355,0.1365,-0.0021,-0.001,0.0,0.4615,0.7107,0.0821,0.1099,0.0962,0.0,0.2582,0.3307,0.0,0.1104,0.0951,0.0,0.1581,0.1181,0.0,0.0,0.0,-0.0478,0.0054,0.0367,0.1952,-0.5715,0.0,0.1036,107.12290618345186
AAPL,"Apple, Inc.",5.42765,4.62715,3.9823500000000003,19.54495,10.0906,17.3279,15.3596,0.49334083094304004,0.719160756615315,1.0,0.28273640110437004,0.397586915640635,0.277749115378715,0.20338830352867,0.280839243384685,0.45135,0.27675,0.49195,0.719160756615315,1.0,0.28273640110437004,10.0906,2.25245,87.81735,14.102056831710499,0.8853969936366699,2.3765,2.0970360604463,0.500422812263825,-8.084,49.27775,0.0,57.44235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5372290694805502,2.27305,2.00935,1.3054,0.0,10.0906,0.26093450150973,0.8832677819814749,0.0,0.0,8.57109702255115,8.57109702255115,0.0,0.39815,0.44255,0.48795,0.5237,0.5001,0.5035000000000001,0.0092,0.00975,0.0,0.44455,0.45345,0.17735,0.33475,0.3209,0.2718,0.5043,0.5539499999999999,0.2662,0.74005,0.569,0.22115,0.4036,0.45185,0.0,0.0,0.0,1.02515,0.6019,0.44799999999999995,0.44245,0.0,0.2694,0.21645,387.5358962440475
AAT,"American Assets Trust, Inc.",0.0,0.0,7.0672,261.5,3.15505,18.7349,17.2123,0.5033875611615399,0.0,0.0,0.370334245485505,0.74177064172309,0.40103674335751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.370334245485505,3.15505,3.00355,0.0,0.136901299576495,0.11264093274795,0.0,0.0,0.0,0.0,103.81765,0.0,29.149050000000003,0.0,0.7866,2.79505,0.0,0.0,1.0,0.0,3.52545561037145,0.6173,0.5671,0.5929,0.0,3.15505,0.41624865015977,0.8931461628374451,0.0,0.0,9.9277700362485,9.9277700362485,0.0,-0.01405,0.08685,-0.058050000000000004,0.5,0.0,0.0,0.0,0.0,0.0,0.00795,0.28355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22290000000000001,0.0,0.07845,0.0,0.07855000000000001,0.0,0.023400000000000004,122.03467046371397
AAWW,"Atlas Air Worldwide Holdings, Inc.",1.1936,1.2446000000000002,0.91035,10.263449999999999,18.456699999999998,5.7545,4.4072,4.24156174502075,0.6150045773998349,0.79519080525321,0.18194310626614502,0.474940576273105,0.15582854865564,0.0896355891244565,0.384995422600165,0.0751,0.11165,0.10930000000000001,0.6150045773998349,0.79519080525321,0.18194310626614502,18.456699999999998,16.89265,0.0,1.2695049955864501,0.650370265321805,3.6109999999999998,3.31910987988585,2.92589128875775,0.0,20.30775,0.0,6.70905,0.0,0.28825,0.55185,0.32239013481609,0.35360878349136,5.302350000000001,0.477610449855345,1.9072185285757999,10.39595,8.0345,25.593049999999998,0.0,18.456699999999998,0.205920682432765,0.77303822078084,0.477610449855345,4.2211488285808505,4.4074571050058005,4.4074571050058005,0.0,0.15910000000000002,0.31795,6.93425,0.52215,0.36835,0.3634,0.10215,0.10690000000000001,0.0,0.5098,0.8785000000000001,0.0,-0.0412,-0.11560000000000001,0.0,0.30995,0.08635,0.0,0.043,0.0169,0.0,0.1599,0.1875,0.0,0.0,0.0,0.07730000000000001,0.0,0.0998,0.1371,-0.14834999999999998,0.0,0.015700000000000006,14.055965814108994
AAXN,"Axon Enterprise, Inc.",2.4052,2.46675,2.99445,0.0,6.2448999999999995,0.0,214.55715,15.927844436754,-0.0060521160517875,0.5,-0.028975196418795996,0.5650228028963951,-0.029941659913283816,-0.025223491763927068,0.5060521160518,-0.02065,-0.01865,-0.02,-0.0060521160517875,0.5,-0.028975196418795996,6.2448999999999995,5.47565,6.29335,2.55838758736735,0.69571781280337,6.5600000000000005,4.56156485967455,3.4367966696484498,-145.6238,55.3636,0.0,20.682650000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16724175545205,0.08754999999999999,-0.0551,0.7088,0.0,6.2448999999999995,0.05273097850500035,-2.4065011242600454,0.0,0.0,0.46063113191443,0.46063113191443,0.0,-0.08614999999999999,-28.9766,-32.465450000000004,-1982.1136000000001,-0.5,-0.5,0.0013,-0.011899999999999999,0.0,-0.3407,-1.36385,0.1418,0.09820000000000001,0.053849999999999995,0.05805,-0.1429,-0.2595,0.0,-0.5,0.0,0.0,0.01925,0.02525,0.0,0.0,0.0,-0.10185,0.15055000000000002,0.024249999999999997,0.021400000000000002,0.0,0.05945,0.008150000000000004,600.3464109568828
ABBV,"AbbVie, Inc.",16.4687,0.0,3.019,10.4836,0.0,9.2123,8.7454,0.001609479305741,0.86393713813069,1.0058236272879,0.30745619644456,0.72547640363218,0.3016370379844,0.26716971479729,0.13606286186931,0.6131,0.2661,0.1903,0.86393713813069,1.0058236272879,0.30745619644456,0.0,0.0,0.0,6.6331207267844,0.73992042945478,2.185,1.3975066254605,0.0025640425731034,-71.1015,78.7302,0.0,8.3275,0.0,0.0,0.0,0.0,0.0,-171.7143,0.0,1.3459024610522,0.0,0.0,0.0,0.0,0.0,0.31819925821716,0.90996784565916,0.0,0.0,11.107142857143,11.107142857143,0.0,0.1169,-0.192,-0.0436,-0.0989,0.0,0.0,0.0,0.0,0.0,-0.0729,-0.1042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4613,0.1408,166.51692740579318
