Ticker,Name,Price,Dividend Yield,Market Cap ($M),Forward P/E Ratio,Payout Ratio,Beta
AAN,"Aaron's, Inc.",57.88,0.002391119,3931.7496,19.53,0.047233468,0.991266709
AAOI,"Applied Optoelectronics, Inc.",12.46,N/A,231.5812,-6.33,N/A,1.85480983
AAON,"AAON, Inc.",55.505,0.005806569,2871.12078,57.73,0.331812526,1.395621956
AAT,"American Assets Trust, Inc.",46.18,0.024750326,2761.61942,54.61,1.348155156,0.546406883
AAWW,"Atlas Air Worldwide Holdings, Inc.",27.465,N/A,700.58668,2.15,N/A,2.232531883
AAXN,"Axon Enterprise, Inc.",87.985,N/A,5170.97474,338.38,N/A,1.397094978
ABCB,Ameris Bancorp,41.14,0.012080213,2883.26879,14.41,0.175119081,1.341817367
ABEO,"Abeona Therapeutics, Inc.",3.165,N/A,263.661868,-3.3,N/A,1.998503786
ABG,"Asbury Automotive Group, Inc.",97.01,N/A,1934.8,10.06,N/A,1.066477843
ABM,"ABM Industries, Inc.",39.19,0.018471011,2602.03194,20.5,0.376569038,1.244906061
ABTX,"Allegiance Bancshares, Inc. (Texas)",38.21,N/A,785.23928,15.27,N/A,0.986377669
AC,"Associated Capital Group, Inc.",42.87,0.004700353,956.903461,-81.44,-0.37993921,0.528260755
ACA,"Arcosa, Inc.",46.76,0.004311274,2244.8121,18.9,0.080844011,1.256334662
ACAD,"ACADIA Pharmaceuticals, Inc.",45.23,N/A,6758.617,-25.72,N/A,0.933155136
ACBI,"Atlantic Capital Bancshares, Inc.",19.57,N/A,421.53438,27.09,N/A,0.787429344
ACCO,ACCO Brands Corp.,10.3,0.026746725,888.40092,9.49,0.225848083,0.899122819
ACER,"Acer Therapeutics, Inc.",4.735,N/A,47.6484,-1.45,N/A,2.125110647
ACHN,"Achillion Pharmaceuticals, Inc.",6.76,N/A,947.02192,-12.6,N/A,0.293765275
ACIA,"Acacia Communications, Inc.",68.75,N/A,2841.3018,96.06,N/A,0.814015053
ACIW,"ACI Worldwide, Inc.",35.555,N/A,4087.58064,41.58,N/A,1.473145328
